Response ID,Age Group,Gender,Industry,Years of Experience,Current Work Arrangement,Have you ever experienced working from home?,Do you think that working from home increases your work productivity?,Do you think that working from home prevents you from going out?,Do you think that working from home gives you more flexibility?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
585,55+,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
586,35–44,Female,Education,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
587,25–34,Male,Healthcare,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
588,25–34,Female,Technology,6–10 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
589,25–34,Male,Education,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working from home
590,18–24,Male,Education,3–5 years,Fully In-Office,Yes,Yes,No,Yes,No,Working in an office,Working from home,No,Working from home,Working from home
591,55+,Male,Government,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
592,25–34,Male,Other,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working from home
593,25–34,Female,Retail/Hospitality,11–20 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
594,35–44,Male,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
595,18–24,Female,Healthcare,0–2 years,Fully Remote,Yes,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working from home
596,25–34,Female,Other,20+ years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
597,35–44,Male,Technology,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
598,35–44,Male,Education,20+ years,Fully Remote,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
599,55+,Female,Other,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
600,35–44,Male,Other,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
601,35–44,Female,Education,3–5 years,Hybrid,No,Yes,No,No,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
602,45–54,Male,Retail/Hospitality,0–2 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
603,45–54,Female,Education,6–10 years,Fully In-Office,No,No,No,No,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
604,35–44,Female,Government,3–5 years,Hybrid,Yes,Yes,No,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
605,55+,Male,Technology,20+ years,Fully In-Office,No,Yes,No,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
606,45–54,Male,Technology,0–2 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
607,45–54,Female,Finance,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
608,18–24,Male,Healthcare,3–5 years,Fully Remote,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
609,35–44,Male,Retail/Hospitality,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
610,25–34,Male,Healthcare,3–5 years,Fully In-Office,No,Yes,No,Yes,Yes,Working in an office,Working from home,No,Working in an office,Working in an office
611,35–44,Male,Other,11–20 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
612,35–44,Female,Government,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
613,55+,Female,Education,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
614,55+,Male,Government,20+ years,Hybrid,Yes,Yes,Yes,No,No,Working in an office,Working in an office,No,Working in an office,Working in an office
615,25–34,Female,Healthcare,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
616,35–44,Male,Education,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,Working in an office
617,45–54,Male,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,No,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
618,25–34,Female,Other,3–5 years,Hybrid,Yes,Yes,No,No,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
619,18–24,Non-binary/Other,Government,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
620,18–24,Male,Other,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
621,45–54,Male,Other,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
622,35–44,Female,Other,3–5 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
623,55+,Female,Healthcare,6–10 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
624,35–44,Male,Other,11–20 years,Fully In-Office,Yes,No,Yes,No,No,Working from home,Working from home,No,Working in an office,Working in an office
625,55+,Male,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
626,25–34,Female,Education,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
627,45–54,Male,Finance,20+ years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,Working in an office
628,18–24,Male,Healthcare,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
629,35–44,Male,Healthcare,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working from home,Working from home
630,45–54,Male,Healthcare,3–5 years,Fully Remote,No,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,Working in an office
631,55+,Male,Technology,0–2 years,Fully Remote,Yes,No,No,Yes,No,Working from home,Working from home,No,Working from home,Working from home
632,45–54,Female,Education,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
633,18–24,Female,Other,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
634,25–34,Female,Retail/Hospitality,6–10 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
635,18–24,Non-binary/Other,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
636,18–24,Male,Education,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working from home
637,35–44,Male,Education,11–20 years,Hybrid,No,Yes,No,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
638,35–44,Female,Technology,3–5 years,Fully In-Office,Yes,Yes,Yes,No,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
639,45–54,Male,Government,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
640,45–54,Female,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
641,35–44,Female,Retail/Hospitality,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
642,45–54,Male,Government,0–2 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
643,18–24,Male,Finance,11–20 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
644,25–34,Male,Other,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
645,35–44,Male,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
646,45–54,Male,Other,11–20 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
647,18–24,Male,Retail/Hospitality,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
648,35–44,Female,Government,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
649,35–44,Female,Retail/Hospitality,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
650,18–24,Female,Government,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
651,25–34,Male,Other,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
652,45–54,Male,Education,3–5 years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
653,35–44,Male,Government,3–5 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
654,25–34,Male,Retail/Hospitality,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
655,45–54,Female,Education,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
656,25–34,Male,Other,0–2 years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
657,45–54,Male,Education,3–5 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
658,25–34,Female,Finance,6–10 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
659,35–44,Male,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working from home
660,25–34,Male,Healthcare,0–2 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
661,25–34,Male,Government,3–5 years,Fully In-Office,No,Yes,Yes,No,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
662,45–54,Female,Education,20+ years,Fully In-Office,Yes,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
663,25–34,Female,Education,20+ years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
664,18–24,Male,Healthcare,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
665,25–34,Female,Education,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
666,35–44,Female,Government,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
667,45–54,Female,Other,3–5 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
668,55+,Male,Technology,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
669,25–34,Male,Finance,6–10 years,Fully In-Office,No,Yes,No,No,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
670,25–34,Female,Education,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
671,18–24,Male,Finance,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
672,35–44,Female,Education,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
673,55+,Female,Education,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
674,35–44,Male,Education,3–5 years,Hybrid,No,Yes,No,Yes,No,Working in an office,Working in an office,No,Working from home,A mixed mode of working
675,35–44,Female,Finance,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
676,25–34,Female,Finance,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
677,55+,Female,Education,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
678,35–44,Male,Government,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
679,18–24,Female,Retail/Hospitality,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
680,25–34,Female,Healthcare,0–2 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
681,18–24,Female,Government,11–20 years,Fully In-Office,No,Yes,No,Yes,No,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
682,25–34,Female,Other,3–5 years,Fully Remote,No,Yes,No,No,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
683,18–24,Female,Technology,6–10 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
684,25–34,Male,Finance,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,Working from home
685,35–44,Male,Healthcare,3–5 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
686,25–34,Male,Retail/Hospitality,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
687,25–34,Female,Healthcare,3–5 years,Hybrid,No,No,No,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
688,55+,Female,Retail/Hospitality,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
689,45–54,Female,Healthcare,6–10 years,Fully In-Office,No,No,No,No,No,Working from home,Working in an office,Yes,Working in an office,Working from home
690,35–44,Male,Finance,6–10 years,Fully In-Office,No,Yes,Yes,No,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
691,25–34,Female,Other,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
692,45–54,Female,Education,6–10 years,Fully Remote,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
693,25–34,Male,Other,0–2 years,Fully In-Office,No,No,No,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
694,25–34,Female,Other,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
695,45–54,Female,Other,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
696,35–44,Female,Technology,6–10 years,Hybrid,No,Yes,Yes,No,No,Working from home,Working in an office,Yes,Working in an office,Working from home
697,45–54,Male,Government,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
698,35–44,Female,Technology,0–2 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
699,35–44,Female,Education,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
700,25–34,Female,Other,6–10 years,Fully In-Office,No,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
701,25–34,Female,Retail/Hospitality,20+ years,Fully In-Office,No,Yes,Yes,No,No,Working from home,Working from home,No,Working in an office,Working in an office
702,25–34,Non-binary/Other,Finance,3–5 years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
703,25–34,Male,Education,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
704,45–54,Female,Government,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
705,25–34,Male,Retail/Hospitality,0–2 years,Fully Remote,Yes,No,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
706,35–44,Non-binary/Other,Education,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
707,45–54,Male,Other,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
708,45–54,Male,Healthcare,11–20 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working from home,Working in an office
709,25–34,Female,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
710,35–44,Male,Retail/Hospitality,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
711,55+,Female,Other,11–20 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working from home
712,35–44,Male,Healthcare,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
713,45–54,Non-binary/Other,Healthcare,20+ years,Hybrid,Yes,No,Yes,No,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
714,45–54,Female,Technology,11–20 years,Fully In-Office,No,Yes,Yes,No,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
715,45–54,Male,Other,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
716,25–34,Female,Healthcare,11–20 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
717,35–44,Male,Finance,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
718,18–24,Female,Other,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
719,35–44,Female,Technology,20+ years,Hybrid,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
720,55+,Female,Finance,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
721,35–44,Male,Finance,11–20 years,Hybrid,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
722,25–34,Male,Government,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
723,18–24,Female,Healthcare,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
724,55+,Female,Education,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
725,18–24,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
726,18–24,Male,Retail/Hospitality,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
727,25–34,Male,Government,20+ years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
728,18–24,Female,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
729,25–34,Male,Education,11–20 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
730,35–44,Male,Other,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working from home
731,25–34,Female,Technology,20+ years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
732,18–24,Male,Healthcare,20+ years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
733,18–24,Female,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
734,25–34,Male,Healthcare,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
735,18–24,Female,Healthcare,3–5 years,Fully In-Office,No,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
736,35–44,Female,Education,20+ years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
737,25–34,Female,Technology,3–5 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
738,25–34,Male,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working from home
739,25–34,Female,Retail/Hospitality,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
740,25–34,Female,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
741,18–24,Male,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
742,18–24,Male,Government,3–5 years,Fully Remote,Yes,Yes,No,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working from home
743,45–54,Male,Technology,11–20 years,Fully In-Office,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
744,18–24,Female,Government,6–10 years,Hybrid,Yes,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
745,35–44,Female,Healthcare,0–2 years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
746,35–44,Female,Government,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working from home
747,25–34,Female,Technology,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
748,25–34,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
749,45–54,Male,Education,3–5 years,Fully In-Office,No,No,Yes,No,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
750,45–54,Male,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,Working from home
751,25–34,Female,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
752,25–34,Male,Retail/Hospitality,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
753,25–34,Female,Government,6–10 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
754,35–44,Female,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
755,35–44,Male,Other,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working in an office
756,25–34,Female,Government,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
757,25–34,Male,Other,3–5 years,Hybrid,Yes,Yes,Yes,No,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
758,55+,Non-binary/Other,Retail/Hospitality,3–5 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
759,18–24,Female,Retail/Hospitality,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
760,35–44,Female,Finance,3–5 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
761,35–44,Male,Retail/Hospitality,20+ years,Hybrid,No,No,No,Yes,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
762,25–34,Male,Other,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
763,18–24,Male,Technology,0–2 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
764,18–24,Male,Healthcare,3–5 years,Hybrid,Yes,No,No,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
765,55+,Male,Technology,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
766,18–24,Male,Other,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
767,25–34,Non-binary/Other,Education,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
768,18–24,Male,Retail/Hospitality,3–5 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
769,18–24,Male,Government,11–20 years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
770,35–44,Female,Other,11–20 years,Fully In-Office,Yes,No,No,Yes,No,Working in an office,Working in an office,No,Working in an office,Working in an office
771,25–34,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working in an office
772,35–44,Female,Government,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
773,35–44,Female,Other,11–20 years,Fully Remote,Yes,Yes,Yes,No,Yes,Working from home,Working in an office,Yes,Working from home,Working in an office
774,45–54,Female,Technology,11–20 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working from home,A mixed mode of working
775,18–24,Female,Government,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working from home
776,45–54,Female,Healthcare,6–10 years,Fully Remote,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
777,35–44,Female,Retail/Hospitality,11–20 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
778,25–34,Male,Finance,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
779,45–54,Male,Healthcare,11–20 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working from home
780,45–54,Male,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
